Lemma,Number of occurrences
KolmogorovSmirnovTest.java,1
2-sample,1
Kolmogorov-Smirnov,1
statistic,36
internally,148
represented,74
double,744
value,3884
However,1614
KS-statistic,1
accurately,19
long,1448
multiplied,14
sample,348
sizes,124
approach,594
saves,52
floating,14
point,740
operations,984
avoids,49
difficulties,9
comparing,54
two,2085
KS-statistics,1
Currently,2148
Precision.compareTo,1
tolerance,29
must,1153
used,4125
possible,1880
add,2553
static,1497
aggregate,199
function,976
StatisticalSummaryValues,1
could,3177
helpful,192
one,4599
example,2726
wants,127
already,1637
aggregated,22
results,1231
use,6455
case,3231
directory,921
crawler,31
want,1141
collect,115
SummaryStatistics,7
recursively,24
BSP,8
trees,45
related,839
methods,2022
dealing,90
relative,179
position,528
sub-hyperplane,4
hyperplane,17
side,683
split,562
sub.side,3
returns,1333
enumerate,12
PLUS,1
MINUS,14
HYPER,1
telling,13
syb-hyperplane,1
respect,111
sub.split,3
splits,139
parts,231
plus,100
minus,18
consistent,274
i.e,792
return,2981
non-null,42
fails,1393
following,3774
code,16885
Test,566
public,3331
void,1324
testSideSplitConsistency,1
1.0e-6,3
Circle,7
new,8413
Vector3D,9
9.738804529764676E-5,1
-0.6772824575010357,1
-0.7357230887208355,1
SubCircle,3
sub,208
2.1793884139073498E-4,1
0.9790647032675541,1
-0.20354915700704285,1
ArcsSet,1
4.7121441684170700,1
4.7125386635004760,1
SplitSubHyperplane,1
Sphere2D,1
Assert.assertNotNull,4
split.getMinus,1
Assert.assertNull,2
split.getPlus,1
Assert.assertEquals,33
Side.MINUS,1
part,1296
null,5046
due,1252
smaller,182
filtered,153
whereas,112
method,4344
slightly,134
different,2488
algorithm,563
instead,2442
returning,226
filter,781
small,538
fact,587
particular,373
occur,383
spaces,110
Euclidean,12
Spherical,1
various,487
dimensions,100
advantages,22
implementation,2131
linear,74
run-time,31
complexity,117
sorting,104
data,4948
avoided,78
Consumes,3
less,423
half,46
random,240
numbers,208
min,206
n+m,3
Allocates,3
memory,1691
speed-up,5
verified,92
using,5811
testTwoSampleMonteCarloPerformance,3
unit,843
test,4733
output,6696
machine,198
old,899
monteCarloP,3
noformat,3569
n=2,8
m=5000,7
time=16.894s,3
n=3,7
m=3333,7
time=11.917s,3
n=4,7
m=2500,7
time=8.69s,3
n=5,7
m=2000,7
time=7.38s,3
n=6,7
m=1666,7
time=6.235s,3
n=7,7
m=1428,7
time=5.472s,3
n=8,7
m=1250,7
time=4.517s,3
n=9,7
m=1111,7
time=4.246s,3
n=10,7
m=1000,7
time=3.797s,3
n=11,7
m=909,7
time=3.502s,3
n=12,7
m=833,7
time=3.249s,3
n=13,7
m=769,7
time=3.0s,3
n=14,7
m=714,7
time=2.816s,3
n=15,7
m=666,7
time=2.669s,3
n=16,7
m=625,7
time=2.44s,3
n=17,7
m=588,7
time=2.443s,3
n=18,7
m=555,7
time=2.349s,3
n=19,7
m=526,7
time=2.219s,3
n=20,7
m=500,7
time=2.135s,3
n=21,7
m=476,7
time=2.022s,3
n=22,7
m=454,7
time=1.952s,3
n=23,7
m=434,7
time=1.907s,3
n=24,7
m=416,7
time=1.823s,3
n=25,7
m=400,7
time=1.793s,3
n=26,7
m=384,7
time=1.783s,3
n=27,7
m=370,7
time=1.655s,3
n=28,7
m=357,7
time=1.602s,3
n=29,7
m=344,7
time=1.549s,3
n=30,7
m=333,7
time=1.513s,3
n=31,7
m=322,7
time=1.492s,3
n=32,7
m=312,7
time=1.382s,3
n=33,7
m=303,7
time=1.391s,3
n=34,8
m=294,7
time=1.383s,3
n=35,7
m=285,7
time=1.454s,3
n=36,27
m=277,7
time=1.433s,3
n=37,7
m=270,7
time=1.402s,3
n=38,7
m=263,7
time=1.374s,3
n=39,7
m=256,7
time=1.286s,3
n=40,7
m=250,7
time=1.334s,3
n=41,7
m=243,7
time=1.328s,3
n=42,7
m=238,7
time=1.306s,3
n=43,7
m=232,7
time=1.316s,3
n=44,7
m=227,7
time=1.273s,3
n=45,7
m=222,7
time=1.304s,3
n=46,7
m=217,7
time=1.265s,3
n=47,7
m=212,7
time=1.254s,3
n=48,7
m=208,7
time=1.243s,3
n=49,7
m=204,7
time=1.236s,3
n=50,7
m=200,7
time=1.237s,3
n=51,7
m=196,7
time=1.201s,3
n=52,7
m=192,7
time=1.227s,3
n=53,7
m=188,7
time=1.179s,3
n=54,7
m=185,7
time=1.162s,3
n=55,7
m=181,7
time=1.163s,3
n=56,7
m=178,7
time=1.16s,3
n=57,7
m=175,7
time=1.167s,7
n=58,7
m=172,7
time=1.168s,3
n=59,7
m=169,7
time=1.169s,3
n=60,7
m=166,7
n=61,7
m=163,7
time=1.171s,3
n=62,7
m=161,7
time=1.183s,3
n=63,7
m=158,7
time=1.132s,7
n=64,7
m=156,7
time=1.127s,3
n=65,7
m=153,7
time=1.153s,7
n=66,7
m=151,7
time=1.139s,3
n=67,7
m=149,7
time=1.107s,3
n=68,7
m=147,7
time=1.103s,3
n=69,7
m=144,7
time=1.118s,3
n=70,7
m=142,7
time=1.124s,3
n=71,7
