Lemma,Number of occurrences
Represent,2
Kolmogorov-Smirnov,4
statistic,1
long,87
value,260
New,147
method,378
AggregateSummaryStatistics,1
aggregate,78
Collection,26
StatisticalSummaryValues,1
split,101
side,74
methods,331
may,212
inconsistent,57
BSP,5
trees,2
Speed,23
KolmogorovSmirnovTest.monteCarloP,3
Improve,984
performance,286
MathArrays.sortInPlace,2
efficient,14
sample,8
ZipfDistribution,1
compute,16
classes,389
org.apache.commons.math4.ml.distance,1
package,200
Move,232
FastMathTestPerformance,1
source,105
Negative,11
max,45
class,334
Incrementor,0
ANN,1
add,315
reporting,37
Incorrect,117
Kendall,1
Tau,1
calc,1
due,226
data,560
type,319
mistmatch,1
Kolmogorov–Smirnov,1
Statistic,1
two,83
samples,7
Additional,20
info,59
QRDecomposition,2
log10,0
RealFieldElement,0
interface,253
Remove,542
support,1418
NaNStrategy.REMOVED,1
SpearmansCorrelation,1
ResizableDoubleArray,6
thread-safe,28
yet,6
synch,0
Speedup,5
initialization,39
WellXXX,0
rngs,0
AbstractStorelessUnivariateStatistic,0
extend,93
AbstractUnivariateStatistic,0
Cost,1
least-squares,0
fitting,0
MicrosphereInterpolator,0
Unnecessery,0
restriction,6
constructor,56
BicubicSplineInterpolator,1
returning,44
incorrect,203
interpolated,3
values,274
Need,63
Percentile,5
computations,8
matched,3
standard,60
spreadsheet,2
formula,4
mvn,2
tests,734
fail,239
JDK,73
used,267
unsafe,3
BicubicSplineInterpolatingFunction,0
MonotoneChain,0
handling,319
collinear,0
points,8
drops,10
low,11
near-column,0
Generalization,0
natural,0
MathArrays,1
RealDistribution,2
implementations,84
rename,31
cumulativeProbability,2
double,48
probability,11
Cast,8
LazyUnweightedEvaluation,0
Lazy,4
evaluation,25
needed,38
o.a.c.m.fitting.leastsquares,0
CMAESOptimizer,4
fails,696
sometimes,84
bounds,18
violated,0
bugged,0
generating,20
function,177
getNextValue,0
.random.EmpiricalDistribution,0
Performance,133
improvements,141
SimplexSolver,7
BOBYQA,6
missing,184
optimization,103
Computation,7
errs,0
Convex,5
Hull,5
algorithm,60
NonLinearConjugateGradientOptimizer,0
Line,16
search,68
gradient,1
returns,148
obviously,0
suboptimal,0
point,26
Tests,32
takes,23
'forever,0
"10,000",0
item,13
dataset,21
KendallsCorrelation,1
suffers,1
integer,16
overflow,33
large,148
arrays,17
signed,11
distance,5
respect,34
tree,43
Allow,539
addition,24
multiple,393
messages,291
exceptions,100
generated,122
implementation,228
smallest,2
enclosing,3
ball,2
sometime,4
Use,357
FastMath,13
instead,261
Math,6
within,55
GammaDistribution.getAlpha,1
getBeta,1
confusing,17
using,628
custom,118
root-finding,0
detect,27
state,225
events,106
Add,1764
binomial,1
test,556
EigenDecomposition.Solver,0
consider,34
tiny,0
purposes,0
determining,14
singularity,0
Existing,28
cutOff,0
mechanism,83
lead,46
wrong,192
solutions,0
Create,375
Combinations,1
check,145
ArithmeticUtils.pow,0
contents,14
o.a.c.m.nonlinear.vector.jacobian,0
o.a.c.m.fitting,0
CombinatoricsUtils,0
move,39
combinatorics,0
utiilities,0
enumerate,0
combinations,2
Reduce,116
code,894
duplication,14
RandomDataGenerator,3
Naming,27
confusion,25
transform,40
Frequency,8
incrementValue,0
char|int|long,0
Better,49
checked,8
nextPermutation,0
broken,107
o.a.c.m.random.RandomDataGenerator,1
shuffle,23
Shuffling,0
array,67
replace,49
linear,13
AbstractUnivariateStatistic.test,1
int,58
begin,2
length,98
boolean,25
allowEmpty,1
uses,114
outside,29
subclasses,18
Refactoring,113
variance,2
calculation,27
centroid,0
cluster,185
Exception,118
MatrixUtils.blockInverse,0
...,103
inverse,4
exists,36
Correlated,3
random,41
vector,14
generator,49
silently,19
faced,1
zero,38
rows,69
covariance,3
matrix,56
RandomDataImpl.nextInt,0
distribute,4
uniformly,4
negative,44
lower,16
bound,13
AbstractRealMatrix,2
supplied,14
rectangular,5
