Lemma,Number of occurrences
MATH-837,1
Support,205
aggregation,25
kind,20
StatisticalSummary,1
AggregateSummaryStatistics,1
MATH-1242,3
fixed,273
shuffle,18
algorithm,37
used,385
Monte,1
Carlo,1
statistic,8
calculation,31
method,770
moved,97
static,94
package-private,2
explicitly,45
tested,131
unit,312
test,1227
MATH-990,2
improved,65
in-place,9
sorting,21
using,441
helper,18
class,508
instead,425
generic,65
Pair,5
order,198
avoid,263
boxing,4
unboxing,2
MATH-1220,1
random,18
generator,19
based,244
rejection-inversion,1
sampling,8
Zipf,1
distributions,10
MATH-1258,1
New,77
utility,59
checkEqualLength,1
consistently,18
report,31
failed,63
precondition,4
Improve,157
performance,230
KolmogorovSmirnov,1
two-sample,1
via,540
monte,1
carlo,1
simulation,2
Thanks,82
Otmar,1
Ertl,1
Moved,73
FastMathTestPerformance,1
main,59
tree,20
benchmark,4
rather,112
JIRA,198
MATH-1195,1
MATH-1250,1
Methods,7
estimate,30
concurrency,14
MATH-1197,1
Computation,2
2-sample,1
wrong,102
case,345
ties,1
MATH-1210,0
Improved,60
error,380
reporting,82
MATH-945,0
Added,594
log10,0
RealFieldElement,0
MATH-958,0
Remove,308
support,838
NaNStrategy,0
REMOVED,0
SpearmansCorrelation,0
MATH-757,0
Removed,231
broken,58
deprecated,120
synchronization,43
ResizableDoubleArray,1
MATH-1231,0
Lifted,0
unnecessary,134
type,578
restriction,7
constructor,105
exponent,1
argument,63
MicrosphereInterpolator,0
MicrosphereInterpolatingFunction,0
MATH-1180,0
Sequence,5
integers,3
MathArrays,5
create,227
array,78
containing,16
sequence,38
MATH-839,2
Renamed,41
cumulativeProbability,2
double,111
probability,3
IntegerDistribution,0
RealDistribution,1
Gilles,0
MATH-1151,0
interface,203
ValueAndJacobianFunction,0
allow,259
separate,79
evaluation,31
either,53
quantity,0
lazy,12
enforced,4
raising,3
exception,235
early,16
wait,29
cast,21
git-svn-id,5595
https,7348
//svn.apache.org/repos/asf/commons/proper/math/trunk,211
1625967,0
13f79535-47bb-0310-9956-ffa450edef68,5595
MATH-1128,0
Introducing,9
LazyUnweightedEvaluation,1
computation,13
model,70
Jacobian,2
deferred,17
one,303
actually,64
accessed,10
Class,13
LocalMultivariateJacobianFunction,0
replaces,13
anonymous,20
created,219
calling,69
evaluate,3
LocalLeastSquaresProblem,0
instantiates,1
UnweightedEvaluation,0
requested,21
user,321
factory,53
1603219,0
Constrained,0
EmpiricalDistribution,2
sample/getNextValue,0
methods,497
return,252
values,241
within,63
range,39
data,360
correctly,154
linked,6
RandomGenerator,5
superclass,11
reseedRandomGenerator,0
works,49
MATH-984,0
1604639,0
MATH-1092,0
Extracted,12
LineSearch,1
PowellOptimizer,1
Made,40
computeObjectiveValue,0
public,111
MultivariateOptimizer,0
Modified,36
use,887
NonLinearConjugateGradientOptimizer,1
uses,106
new,906
constructors,26
set,393
line,227
search,43
tolerances,0
obsolete,3
contructors,0
inner,34
classes,260
BracketingStep,0
LineSearchFunction,0
findUpperBound,0
1572988,0
